page,indicator_id,indicator_value,country_id,country_value,countryiso3code,date,value,unit,obs_status,decimal,download_date
4,EN.POP.DNST,Population density (people per sq. km of land area),XG,IDA total,IDA,2020,70.3333926717316,,,0,2023-08-31
4,EN.POP.DNST,Population density (people per sq. km of land area),XG,IDA total,IDA,2019,68.7680716974162,,,0,2023-08-31
4,EN.POP.DNST,Population density (people per sq. km of land area),XG,IDA total,IDA,2018,67.2532516881858,,,0,2023-08-31
4,EN.POP.DNST,Population density (people per sq. km of land area),XG,IDA total,IDA,2017,65.785188869308,,,0,2023-08-31
4,EN.POP.DNST,Population density (people per sq. km of land area),XG,IDA total,IDA,2016,64.3624796453849,,,0,2023-08-31
4,EN.POP.DNST,Population density (people per sq. km of land area),XG,IDA total,IDA,2015,62.9943398973954,,,0,2023-08-31
4,EN.POP.DNST,Population density (people per sq. km of land area),V3,Late-demographic dividend,LTE,2022,NA,,,0,2023-08-31
4,EN.POP.DNST,Population density (people per sq. km of land area),V3,Late-demographic dividend,LTE,2021,NA,,,0,2023-08-31
4,EN.POP.DNST,Population density (people per sq. km of land area),V3,Late-demographic dividend,LTE,2020,52.0018368833299,,,0,2023-08-31
4,EN.POP.DNST,Population density (people per sq. km of land area),V3,Late-demographic dividend,LTE,2019,51.8273867433849,,,0,2023-08-31
4,EN.POP.DNST,Population density (people per sq. km of land area),V3,Late-demographic dividend,LTE,2018,51.5915966435812,,,0,2023-08-31
4,EN.POP.DNST,Population density (people per sq. km of land area),V3,Late-demographic dividend,LTE,2017,51.3148574423623,,,0,2023-08-31
4,EN.POP.DNST,Population density (people per sq. km of land area),V3,Late-demographic dividend,LTE,2016,50.9934246306457,,,0,2023-08-31
4,EN.POP.DNST,Population density (people per sq. km of land area),V3,Late-demographic dividend,LTE,2015,50.6807423706473,,,0,2023-08-31
4,EN.POP.DNST,Population density (people per sq. km of land area),ZJ,Latin America & Caribbean,LCN,2022,NA,,,0,2023-08-31
4,EN.POP.DNST,Population density (people per sq. km of land area),ZJ,Latin America & Caribbean,LCN,2021,NA,,,0,2023-08-31
4,EN.POP.DNST,Population density (people per sq. km of land area),ZJ,Latin America & Caribbean,LCN,2020,32.4634779814142,,,0,2023-08-31
4,EN.POP.DNST,Population density (people per sq. km of land area),ZJ,Latin America & Caribbean,LCN,2019,32.2020284465577,,,0,2023-08-31
4,EN.POP.DNST,Population density (people per sq. km of land area),ZJ,Latin America & Caribbean,LCN,2018,31.9192007776843,,,0,2023-08-31
4,EN.POP.DNST,Population density (people per sq. km of land area),ZJ,Latin America & Caribbean,LCN,2017,31.6283108071692,,,0,2023-08-31
4,EN.POP.DNST,Population density (people per sq. km of land area),ZJ,Latin America & Caribbean,LCN,2016,31.3220948383066,,,0,2023-08-31
4,EN.POP.DNST,Population density (people per sq. km of land area),ZJ,Latin America & Caribbean,LCN,2015,31.0086973944096,,,0,2023-08-31
4,EN.POP.DNST,Population density (people per sq. km of land area),XJ,Latin America & Caribbean (excluding high income),LAC,2022,NA,,,0,2023-08-31
4,EN.POP.DNST,Population density (people per sq. km of land area),XJ,Latin America & Caribbean (excluding high income),LAC,2021,NA,,,0,2023-08-31
4,EN.POP.DNST,Population density (people per sq. km of land area),XJ,Latin America & Caribbean (excluding high income),LAC,2020,32.4211391733649,,,0,2023-08-31
4,EN.POP.DNST,Population density (people per sq. km of land area),XJ,Latin America & Caribbean (excluding high income),LAC,2019,32.1283864835091,,,0,2023-08-31
4,EN.POP.DNST,Population density (people per sq. km of land area),XJ,Latin America & Caribbean (excluding high income),LAC,2018,31.793092884798,,,0,2023-08-31
4,EN.POP.DNST,Population density (people per sq. km of land area),XJ,Latin America & Caribbean (excluding high income),LAC,2017,31.449076676742,,,0,2023-08-31
4,EN.POP.DNST,Population density (people per sq. km of land area),XJ,Latin America & Caribbean (excluding high income),LAC,2016,31.1176598536685,,,0,2023-08-31
4,EN.POP.DNST,Population density (people per sq. km of land area),XJ,Latin America & Caribbean (excluding high income),LAC,2015,30.7969357599068,,,0,2023-08-31
5,EN.POP.DNST,Population density (people per sq. km of land area),T2,Latin America & the Caribbean (IDA & IBRD countries),TLA,2022,NA,,,0,2023-08-31
5,EN.POP.DNST,Population density (people per sq. km of land area),T2,Latin America & the Caribbean (IDA & IBRD countries),TLA,2021,NA,,,0,2023-08-31
5,EN.POP.DNST,Population density (people per sq. km of land area),T2,Latin America & the Caribbean (IDA & IBRD countries),TLA,2020,31.8719098809088,,,0,2023-08-31
5,EN.POP.DNST,Population density (people per sq. km of land area),T2,Latin America & the Caribbean (IDA & IBRD countries),TLA,2019,31.6125470736595,,,0,2023-08-31
5,EN.POP.DNST,Population density (people per sq. km of land area),T2,Latin America & the Caribbean (IDA & IBRD countries),TLA,2018,31.3275998278954,,,0,2023-08-31
5,EN.POP.DNST,Population density (people per sq. km of land area),T2,Latin America & the Caribbean (IDA & IBRD countries),TLA,2017,31.0281252655246,,,0,2023-08-31
5,EN.POP.DNST,Population density (people per sq. km of land area),T2,Latin America & the Caribbean (IDA & IBRD countries),TLA,2016,30.7163878796863,,,0,2023-08-31
5,EN.POP.DNST,Population density (people per sq. km of land area),T2,Latin America & the Caribbean (IDA & IBRD countries),TLA,2015,30.3983864744023,,,0,2023-08-31
5,EN.POP.DNST,Population density (people per sq. km of land area),XL,Least developed countries: UN classification,LDC,2022,NA,,,0,2023-08-31
5,EN.POP.DNST,Population density (people per sq. km of land area),XL,Least developed countries: UN classification,LDC,2021,NA,,,0,2023-08-31
5,EN.POP.DNST,Population density (people per sq. km of land area),XL,Least developed countries: UN classification,LDC,2020,52.6393001286885,,,0,2023-08-31
